sex,birth,education,grade,income,pa_mar,edu_fa,edu_ma,have_c,conway,sleep,pa_use,trouble,self_diag,f1,f2,f3,f4,f5,f6,f7,scr,fac,lon,eff,d
2,1987,2,2,3,1,9,9,1,1,4,4,4,4,56.13,49.94,71.76,70.79,61.69,47.41,58.36,28,53,39,61,-6.19
2,1984,3,1,2,1,9,7,1,1,2,2,5,1,41.78,43.8,50.76,48.31,61.69,43.87,39.78,39,52,28,59,2.02
1,1987,2,1,6,1,11,11,1,3,3,1,2,3,70.47,74.48,66.51,67.98,67.94,68.69,52.17,31,56,51,63,4.01
2,1987,3,3,2,1,7,5,1,1,4,1,4,1,35.64,43.8,40.26,37.08,39.81,43.87,42.88,37,49,22,60,8.16
1,1987,2,5,4,5,7,7,1,1,2,4,5,4,72.52,99.02,77.01,56.74,74.19,72.23,61.46,29,62,50,69,26.5
2,1989,2,4,3,1,5,5,1,1,3,2,4,3,49.98,43.8,37.64,42.7,64.81,58.05,55.26,25,58,51,57,-6.18
2,1985,3,3,2,1,5,5,1,1,4,4,3,4,60.23,62.21,82.26,87.64,64.81,54.5,64.55,23,40,74,54,1.98
1,1989,2,4,6,1,9,11,1,1,3,1,3,2,49.98,56.07,48.14,42.7,46.06,47.41,55.26,25,56,33,44,6.09
1,1984,3,3,3,1,5,5,1,2,3,4,3,3,62.27,68.34,66.51,59.55,67.94,58.05,64.55,31,55,47,63,6.07
2,1984,3,2,4,1,9,9,1,1,2,4,4,1,47.93,49.94,37.64,45.51,52.31,43.87,45.98,22,60,49,58,2.01
1,1987,2,2,3,1,7,5,1,1,3,2,3,2,49.98,49.94,56.01,39.89,61.69,61.6,49.07,29,61,48,52,-0.04
1,1984,3,3,2,1,7,3,1,1,4,2,4,4,56.13,43.8,66.51,59.55,61.69,43.87,61.46,31,53,42,53,-12.33
2,1986,3,4,1,1,9,7,1,1,3,1,3,2,43.83,43.8,45.51,45.51,64.81,40.32,49.07,35,52,43,56,-0.03
1,1988,2,2,3,1,5,5,1,1,2,4,3,3,62.27,49.94,61.26,67.98,49.19,61.6,61.46,31,62,32,51,-12.33
1,1989,2,2,4,1,11,11,1,1,2,1,3,1,56.13,62.21,37.64,53.93,39.81,50.96,58.36,26,54,52,56,6.08
2,1987,2,3,2,1,9,5,1,1,4,3,2,2,72.52,68.34,71.76,70.79,80.44,50.96,55.26,29,62,49,61,-4.18
1,1985,3,1,2,1,5,3,1,1,4,4,4,2,66.37,62.21,56.01,51.12,49.19,68.69,49.07,25,54,45,61,-4.16
1,1985,3,2,2,1,3,3,1,3,2,4,3,2,43.83,56.07,58.64,51.12,46.06,47.41,42.88,26,56,43,57,12.24
2,1984,3,1,2,1,9,5,1,1,3,3,5,1,39.73,43.8,56.01,48.31,52.31,40.32,33.59,39,46,36,63,4.07
1,1984,3,4,2,1,5,3,1,3,2,4,4,2,45.88,49.94,40.26,39.89,52.31,43.87,49.07,38,45,35,66,4.06
1,1985,3,3,3,1,5,1,1,3,3,2,4,2,47.93,49.94,45.51,48.31,49.19,47.41,49.07,28,53,42,58,2.01
1,1988,2,3,3,1,7,9,1,1,2,1,3,2,74.57,68.34,61.26,62.36,74.19,54.5,67.65,29,52,56,59,-6.23
2,1984,3,1,1,1,1,1,1,2,2,4,5,4,60.23,43.8,58.64,67.98,39.81,40.32,61.46,44,39,24,87,-16.43
2,1985,3,3,6,1,9,5,1,1,2,1,3,3,47.93,49.94,56.01,51.12,55.44,54.5,67.65,44,56,25,75,2.01
1,1985,3,3,2,1,3,3,1,1,4,2,4,3,47.93,56.07,48.14,48.31,46.06,43.87,52.17,26,55,51,53,8.14
1,1984,3,2,2,1,4,9,1,1,3,4,3,2,49.98,43.8,56.01,39.89,42.94,43.87,39.78,40,36,24,87,-6.18
2,1985,3,2,1,1,7,5,1,1,3,2,3,2,60.23,43.8,45.51,48.31,52.31,58.05,52.17,27,59,47,51,-16.43
1,1988,2,1,3,1,5,5,1,6,2,2,5,3,52.03,43.8,63.88,59.55,61.69,47.41,42.88,30,37,26,77,-8.23
1,1989,2,2,2,1,5,5,1,1,3,2,2,3,56.13,43.8,37.64,48.31,39.81,43.87,58.36,31,54,35,62,-12.33
2,1989,2,3,2,1,3,5,1,5,3,4,3,1,52.03,74.48,56.01,51.12,83.56,47.41,45.98,39,67,34,47,22.45
2,1985,3,2,2,1,5,3,1,1,3,4,3,2,39.73,43.8,40.26,39.89,39.81,40.32,39.78,33,52,36,64,4.07
2,1984,3,3,2,1,9,9,1,1,3,3,3,2,39.73,43.8,37.64,37.08,36.69,43.87,45.98,35,45,34,71,4.07
2,1985,3,3,2,1,1,3,1,1,2,1,3,3,56.13,43.8,66.51,70.79,64.81,54.5,61.46,32,55,49,45,-12.33
1,1984,3,3,4,1,3,3,1,1,3,2,3,2,49.98,43.8,37.64,42.7,49.19,43.87,36.69,36,47,27,79,-6.18
2,1987,2,3,4,1,5,5,1,1,2,4,4,3,52.03,49.94,71.76,73.6,55.44,58.05,58.36,31,67,35,55,-2.09
1,1987,2,3,4,1,5,5,1,1,3,3,3,3,54.08,56.07,63.88,53.93,61.69,50.96,55.26,27,56,42,54,1.99
1,1988,2,5,1,1,1,5,1,1,2,2,2,3,49.98,43.8,50.76,42.7,46.06,54.5,45.98,27,50,43,59,-6.18
2,1989,2,3,4,1,5,5,1,1,2,4,3,1,45.88,49.94,48.14,45.51,61.69,58.05,42.88,27,55,45,56,4.06
2,1986,3,2,4,1,5,5,1,1,1,2,4,1,35.64,43.8,42.89,42.7,49.19,43.87,33.59,44,62,37,51,8.16
1,1984,3,3,1,1,5,5,1,2,3,1,4,2,35.64,43.8,37.64,37.08,36.69,40.32,33.59,26,53,52,51,8.16
1,1984,3,2,2,1,1,3,1,1,3,4,4,2,52.03,56.07,48.14,53.93,58.56,50.96,55.26,28,67,45,61,4.04
1,1987,2,2,2,1,1,3,1,1,3,4,3,2,66.37,56.07,61.26,62.36,67.94,72.23,45.98,26,57,50,55,-10.3
2,1987,3,2,5,1,7,5,1,1,3,4,4,2,35.64,43.8,37.64,37.08,42.94,43.87,36.69,28,43,29,78,8.16
1,1989,2,2,6,1,5,5,1,1,4,1,5,3,43.83,43.8,45.51,53.93,36.69,47.41,42.88,26,53,41,51,-0.03
1,1984,3,1,1,2,3,3,1,3,2,3,3,2,58.18,43.8,53.39,56.74,49.19,50.96,42.88,29,51,30,50,-14.38
